               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,              0.0231,           0.0047544,           0.0024668,             0.98617,                   1,               0.995,              0.8244,            0.019361,           0.0028346,           0.0020065,           0.0062875,           0.0062875,           0.0062875
                  47,            0.022674,           0.0050793,           0.0027326,             0.98057,                   1,               0.995,             0.77083,            0.020186,           0.0028374,           0.0019756,            0.006205,            0.006205,            0.006205
                  48,             0.02326,           0.0048504,           0.0024234,             0.98438,                   1,               0.995,             0.79462,            0.021801,           0.0027772,           0.0019615,           0.0061225,           0.0061225,           0.0061225
                  49,            0.021832,           0.0050172,           0.0029574,             0.98785,                   1,               0.995,             0.76431,            0.022271,           0.0027931,           0.0019636,             0.00604,             0.00604,             0.00604
                  50,            0.023242,           0.0048789,           0.0029858,             0.98811,                   1,               0.995,             0.78013,            0.020011,           0.0028001,           0.0022259,           0.0059575,           0.0059575,           0.0059575
                  51,            0.021251,           0.0046806,           0.0033373,             0.98427,                   1,               0.995,             0.74666,            0.020703,           0.0028487,           0.0021713,            0.005875,            0.005875,            0.005875
                  52,            0.022016,           0.0047573,           0.0033118,             0.98288,                   1,               0.995,             0.80151,            0.017837,           0.0027608,           0.0019726,           0.0057925,           0.0057925,           0.0057925
                  53,            0.021645,           0.0046655,           0.0025128,             0.98479,                   1,               0.995,              0.7779,            0.018652,           0.0027066,           0.0018278,             0.00571,             0.00571,             0.00571
                  54,              0.0217,           0.0046525,           0.0019486,             0.98801,                   1,               0.995,             0.81397,            0.019636,           0.0027473,           0.0018751,           0.0056275,           0.0056275,           0.0056275
                  55,            0.021332,           0.0048545,           0.0020709,             0.98988,                   1,               0.995,              0.7925,            0.020135,            0.002715,           0.0018156,            0.005545,            0.005545,            0.005545
                  56,            0.020677,           0.0048088,           0.0022218,             0.98806,                   1,               0.995,             0.77022,            0.021022,           0.0026487,           0.0017151,           0.0054625,           0.0054625,           0.0054625
                  57,            0.020967,           0.0042938,           0.0022458,             0.98526,                   1,               0.995,             0.79294,            0.018973,           0.0026253,           0.0016136,             0.00538,             0.00538,             0.00538
                  58,            0.019784,           0.0048288,           0.0016403,             0.98783,                   1,               0.995,             0.78685,            0.020057,           0.0026398,           0.0015614,           0.0052975,           0.0052975,           0.0052975
                  59,            0.020513,            0.004493,           0.0017354,             0.98691,                   1,               0.995,             0.82179,            0.018973,           0.0026206,           0.0018198,            0.005215,            0.005215,            0.005215
                  60,            0.019824,           0.0044573,            0.002021,             0.98602,                   1,               0.995,             0.78414,            0.018951,           0.0026739,           0.0019377,           0.0051325,           0.0051325,           0.0051325
                  61,            0.020228,           0.0045662,           0.0031562,             0.98073,                   1,               0.995,             0.78484,             0.01912,           0.0027099,           0.0020248,             0.00505,             0.00505,             0.00505
